SNNAME SURVEY Z ZERR T0 T0ERR X0 X0ERR X1 X1ERR X2/C X2/CERR COV_X0_X1 COV_X0_X2/C COV_X1_X2/C CHISQ/NDOF MODEL mB mBERR COV_mB_X1 COV_mB_X2/C
vespesian PS1_HST_COMBINED(CANDELS) 1.206 0.0 55742.03143865241 1.285170941209799 9.85657510674338e-07 8.274438681297649e-08 -1.2422441501281758 0.586880721166078 -0.28526810449801543 0.10311785300162266 -1.509372441439898e-08 5.743151963636623e-09 0.0005675060511840064 1.1309366614771388 SALT2_ORI 25.650684911082642 0.09114583466410826 0.01662626509094721 -0.006326282657839207
washington PS1_HST_COMBINED(CANDELS) 1.33 0.0 55616.67637992247 3.0617100785530056 1.04876853562417e-06 7.527742775423675e-08 0.9127685002136224 0.7756400264830915 -0.08778781865827978 0.04223287621198876 4.085740732516948e-09 -2.226996157347809e-09 0.0037428046313840685 2.5674085985239503 SALT2_ORI 25.58330087625874 0.07793085503389667 -0.004229757554567141 0.0023054947529015327
carter PS1_HST_COMBINED(CANDELS) 1.54 0.0 55943.100002960586 1.3913735689930036 4.931414208039398e-07 4.9135500207773824e-08 2.361707119956462 0.7639695549372989 0.1431981711086907 0.0729643600543303 -2.6075202897001117e-08 -2.9736392120037293e-09 0.019855938540447877 1.9152527221169706 SALT2_ORI 26.402571294771874 0.10818030946885415 0.05740907301101323 0.0065469814867660184
Primo PS1_HST_COMBINED(CANDELS) 1.55 0.0 55483.15204569616 0.9801632339585922 7.201450107730209e-07 5.7110084613074844e-08 -0.631312938162457 0.38285029888442734 -0.20799507362015768 0.07500733209980585 -9.657367144167346e-09 -3.803305285196717e-09 0.005814203636553977 1.3225054060199188 SALT2_ORI 25.991450109486244 0.08610277873709947 0.01456005803582376 0.005734103804251087
geta PS1_HST_COMBINED(CANDELS) 1.7 0.0 56139.62047347015 1.78570123577083 7.162740988327999e-07 5.4205218523828175e-08 1.0130458306140941 0.8800110748164 -0.13924532268639758 0.09246971174955779 -1.7548999208555268e-08 -3.747018788132244e-09 -0.003338955483441067 0.8991211857822595 SALT2_ORI 25.997301882669447 0.08216487003236485 0.02660096718427885 0.005679772540726434
stone PS1_HST_COMBINED(CANDELS) 1.8 0.0 56481.931135735584 1.0758092982250673 4.919203249340661e-07 3.425446447220229e-08 -0.5398597651664258 0.6489557960723741 -0.02409342595073675 0.08096905047959581 -1.2896251869130972e-08 -2.236265190174704e-09 0.01637803975227198 1.2488509171395628 SALT2_ORI 26.405263082733853 0.0756043415304216 0.02846381182129835 0.004935746618598109
colfax PS1_HST_COMBINED(CANDELS) 2.26 0.0 56077.46717574603 6.97656389621261 2.6975017352168503e-07 1.8084562701913005e-08 0.20690330579843347 1.287006565534489 0.07620787507957877 0.11111324838481154 8.763135707997926e-09 1.3376353400560632e-10 0.0031857888707525236 0.8690089856266009 SALT2_ORI 27.057595668192924 0.07278981220416898 -0.03527135341997195 -0.0005383941365087089
wilson PS1_HST_COMBINED(CANDELS) 1.914 0.0 55539.310846216766 1.3790302326306119 4.332769582029116e-07 6.336793305661027e-08 -1.6483097870983092 0.7054897371715629 0.0714896579092264 0.14177964981114186 -3.816424604641227e-08 -7.245474170275761e-09 0.05794511026760824 0.7651788695909142 SALT2_ORI 26.543086015652058 0.15879187166013692 0.09563468094807323 0.0181562242772766
rutledge PS1_HST_COMBINED(CANDELS) 1.614 0.0 56456.4782693394 1.6048079939464515 5.986481532636084e-07 3.618760731894419e-08 1.00723161699626 1.006165165806476 0.050771820471525064 0.04336832425509176 -2.3381558065771253e-08 -1.000293691106743e-09 0.007686253790979584 0.3517481906751903 SALT2_ORI 26.1920708822228 0.06563153200348547 0.042405883952478796 0.0018141792802750085
Aphrodite PS1_HST_COMBINED(HST) 1.3 0.0 52552.65312951467 0.6231524014219758 9.72209316003422e-07 3.749135909629282e-08 0.6388943971737528 0.35353825625899504 -0.015216360519025383 0.05248081775004449 -4.297833749758734e-09 3.9124190373694534e-10 0.005469586471844743 2.4933909297212384 SALT2_ORI 25.66560055425147 0.04186930249112103 0.004799700668706639 -0.00043692802847427285
