SNNAME SURVEY Z ZERR T0 T0ERR X0 X0ERR X1 X1ERR X2/C X2/CERR COV_X0_X1 COV_X0_X2/C COV_X1_X2/C CHISQ/NDOF MODEL mB mBERR COV_mB_X1 COV_mB_X2/C
6 PS1MD 0.2305 0.0 55204.16399738238 0.481882179974491 3.87639568178967e-05 1.55563175978451e-06 0.01179942396043144 0.4126882366508176 0.13778062027845475 0.03582948611175683 -1.8873829400844528e-07 -4.604798106875325e-08 0.0011075109565183681 1.4291572948535967 SALT2_ORI 21.66392974723741 0.04357155103655098 0.005286354021905347 0.0012897537895120144
11 PS1MD 0.3812 0.0 55210.82989939545 0.49956387500060373 9.803500272290544e-06 3.981992832257295e-07 -2.0428268517568826 0.5733614095560314 0.1283724313679903 0.040362791832583005 -8.965806970277823e-08 -1.2894750575607604e-08 0.006082100489865878 0.9922159650175606 SALT2_ORI 23.156547086909253 0.04410051170487671 0.00992961795494397 0.0014280917185094137
34 PS1MD 0.2534 0.0 55208.09272307272 0.2964427316983347 7.260218793321007e-05 2.0068550425713063e-06 1.2002775289143381 0.3841298444671802 -0.10097313464785723 0.02527054073581462 -2.655328687738776e-07 -4.201279540193558e-08 0.0025860911101280924 2.1119610250005736 SALT2_ORI 20.982625728105063 0.030011701292329704 0.003970936102453371 0.000628284275302287
91 PS1MD 0.1526 0.0 55210.363880222765 0.11003851353962091 0.00010991857213513457 3.1710045526736345e-06 -2.3635332079876177 0.12098691297286181 -0.009759008237139244 0.02801294925543045 -4.0936561651114564e-08 -7.361392066661779e-08 -0.00016340128726976093 0.8304999193368041 SALT2_ORI 20.532322304556374 0.03132204486843162 0.0004043566634789047 0.0007271318876274974
142 PS1MD 0.4365 0.0 55214.226108199946 0.42400254232416046 1.1371351349358089e-05 3.7161734384390283e-07 -0.6688720553582019 0.42392799707852824 -0.020243449465807598 0.03921996187725633 -7.41614084386562e-08 -6.345181139645288e-09 0.002194137566693589 0.9170555565145365 SALT2_ORI 22.995469803826857 0.03548201019662911 0.007080928525020857 0.0006058376596947057
190 PS1MD 0.1023 0.0 55224.3510829979 0.057836452364426805 0.0002915673400642059 8.308537772659954e-06 0.0911417243108179 0.08721991732906506 0.012320096773685611 0.02527183686943335 -1.713706698586104e-07 -1.8216241021179253e-07 0.00018430416939023964 0.7316419262214445 SALT2_ORI 19.47315281289028 0.030939268665656786 0.000638148774338625 0.0006783349735583967
199 PS1MD 0.3712 0.0 55214.52627508699 0.2404772282061458 2.829356568375399e-05 6.687804724227154e-07 0.9352211691689504 0.21888289511143622 -0.09598844519914616 0.02399906515402731 -2.994917106843268e-08 -1.261454225470705e-08 0.00047771779480361426 0.7920743914499795 SALT2_ORI 22.0057807933232 0.02566375620735288 0.0011492683423130051 0.00048406996083391835
215 PS1MD 0.4661 0.0 55222.74667724667 0.32679795131116407 1.4671839032873444e-05 4.349364658684588e-07 0.9635976907238645 0.30720378168596496 -0.08507723776250277 0.03036997057674805 -6.58418034694171e-08 -7.669890701359531e-09 0.0006086723182387114 0.9128777901619969 SALT2_ORI 22.718788615907858 0.03218589480874708 0.004872383731387969 0.0005675824279659405
236 PS1MD 0.1959 0.0 55211.085750274564 0.12506542074333993 0.0001075255268321527 2.9336874416700785e-06 -0.20085178829722275 0.12693232268384325 -0.07638051033086979 0.02528924573672366 -9.089130643116567e-08 -6.256926419360394e-08 0.0003363163710461446 1.2766920353993598 SALT2_ORI 20.556221052247714 0.029622832481793555 0.0009177725977955694 0.0006317915144569974
420 PS1MD 0.3112 0.0 55223.38354104995 0.15821558144307346 3.0387355631300364e-05 8.977024507420443e-07 -0.742311688437249 0.17309610146048449 -0.07050567518479302 0.025781580864543 -6.034825200328508e-08 -1.8766701305268394e-08 0.0010704104376744175 1.016235274820731 SALT2_ORI 21.928267728633845 0.03207479004414541 0.002156235076485003 0.0006705317599279239
10026 PS1MD 0.0316 0.0 55248.02391421454 0.07023413727074512 0.0037030167800398413 0.00012527487078505477 -0.3796282807738505 0.06968743518187442 -0.027282939443740852 0.03175400023248768 -1.883085822587363e-06 -3.4992569215934495e-06 0.00010421597086692454 2.102129592131027 SALT2_ORI 16.713610799904615 0.03673098741839 0.0005521267052502654 0.0010259931712984598
20027 PS1MD 0.1098 0.0 55271.002195322944 0.18564277474433766 0.00025081656899028165 7.048799176242652e-06 0.30543727834226797 0.1314128846921086 0.03737443787151868 0.026165505582573054 -7.941422756769572e-08 -1.5760753119141164e-07 -0.00015359191738936745 5.088802800066208 SALT2_ORI 19.636609443293832 0.03051288236867821 0.00034376876452085287 0.0006822523864589351
20096 PS1MD 0.2255 0.0 55281.431244843094 0.2508536965760868 7.608236744093664e-05 2.6730584008783064e-06 -0.6914090681431792 0.21117064142879854 -0.06342687818333334 0.032018606815120136 -1.9521211608815224e-07 -6.692200643856115e-08 0.0007633330763866404 1.1454851921863374 SALT2_ORI 20.931789954998564 0.0381459775882957 0.0027857816360524197 0.0009550129383369775
20176 PS1MD 0.2604 0.0 55270.178300589265 0.28524262051359983 6.00006332552314e-05 1.6805938100977087e-06 0.7172725786778367 0.30537683011049915 -0.07516762420931077 0.02652781818693644 -1.515796651987803e-07 -3.4014126125322174e-08 0.0003828979760882406 1.598138195895586 SALT2_ORI 21.189610414965834 0.030411038119441822 0.002742896557630622 0.0006154996406517379
30066 PS1MD 0.2253 0.0 55300.40347813314 0.5512227317485667 9.63066704083067e-05 3.489043605405146e-06 1.3808428473506862 0.35850977521178934 -0.12261643171872781 0.032428659076584966 -3.228188813407512e-07 -9.424776997309726e-08 0.002183648742348452 0.6846359381862163 SALT2_ORI 20.67585907914625 0.03933456474310282 0.0036393756067486364 0.0010625246999368982
40137 PS1MD 0.4474 0.0 55325.1206159871 1.0043314487302268 1.5054853215496371e-05 7.469618933827724e-07 0.8817473186642908 0.4638773648158475 -0.016369849547957286 0.0441519669315762 -1.2527449481172957e-07 -1.990138373350781e-08 0.001069061596868446 1.3471099746970512 SALT2_ORI 22.690808686231712 0.053869908899913416 0.009034631729911207 0.001435261608662687
40166 PS1MD 0.4399 0.0 55325.781092827354 1.8712158986236318 1.4310735693492328e-05 8.550470481159265e-07 0.9092345488645205 0.6320880474808823 -0.15062536804439153 0.04830331594846894 3.3832816608095796e-08 -2.351074640664605e-08 -0.007318329200770372 0.8184478416478264 SALT2_ORI 22.745845098093355 0.0648712656563973 -0.0025668501387427598 0.0017837286021703716
40782 PS1MD 0.3374 0.0 55352.23410781017 0.5613754910518765 1.9124724471638488e-05 9.04402266334604e-07 -0.12707447902052044 0.45828669995926047 0.14226295515377008 0.04085249074756241 -2.2008213974260707e-07 -2.7387079758594374e-08 0.005726560451971426 1.1047033473717693 SALT2_ORI 22.431012032437035 0.05134412711048367 0.012494357630801187 0.0015548011727228258
50005 PS1MD 0.5283 0.0 55352.5993144701 0.7834981465057353 1.1924553903675236e-05 5.42292612790828e-07 1.0846934942178397 0.6227011951237569 0.009177248121736535 0.047246126795290756 -1.9835407503007032e-07 -1.0906424147994496e-08 0.005041795058606379 1.6980373319821649 SALT2_ORI 22.943894647238707 0.04937599578449767 0.018060231213771632 0.0009930350147753808
50203 PS1MD 0.5761 0.0 55350.26538682265 0.8125195299689949 1.0101206930674416e-05 5.882178496183879e-07 1.1260936319134232 0.6631143470517684 -0.1111558403201106 0.05778858423598574 -2.721453642203234e-07 -1.2153911374354642e-08 0.01577263874642977 1.2920521725760616 SALT2_ORI 23.124066829895824 0.06322506013378114 0.029251759410433637 0.0013063727630889584
50251 PS1MD 0.3876 0.0 55367.78263047618 0.9349902453395771 1.809563396193301e-05 1.0193051201718313e-06 0.8267774941223713 0.9175755486672872 0.0033728121591272624 0.050345802102971154 -5.86680615457146e-07 -3.028549390419743e-08 0.02133173962009604 1.1310068919033247 SALT2_ORI 22.491065493071368 0.06115820396201658 0.03520077750089292 0.0018171265665486672
50293 PS1MD 0.36 0.0 55355.724047417985 0.37954060057745664 2.6155471700704066e-05 8.59344927960145e-07 0.5666367384065583 0.4092898373979809 -0.002861951352515934 0.03287654407095659 -1.8509667437281913e-07 -1.8637036825068872e-08 0.0024146059717501268 1.049592690491332 SALT2_ORI 22.09109360821145 0.03567214964953129 0.007683522707850316 0.0007736394840030007
50301 PS1MD 0.347 0.0 55358.20121093084 0.4444863975732005 2.043378162612277e-05 8.544039736254437e-07 0.930095532414505 0.49382138865241004 0.16983876000096462 0.03816883326619305 -2.528370671600209e-07 -2.5635001510950465e-08 0.006272407897997076 1.3942780369357246 SALT2_ORI 22.359128130484883 0.0453982206831665 0.013434339406346366 0.0013620997698187427
50607 PS1MD 0.4391 0.0 55367.48117645811 0.6326473771659948 1.2213528855910682e-05 5.245320509693978e-07 0.179310979731879 0.4987160702953736 0.07454514209522589 0.04449620522884225 -1.0596727532852418e-07 -1.65252527589551e-08 0.004949594075904487 1.004352109869035 SALT2_ORI 22.917897092957944 0.0466289018523834 0.009420087241049296 0.0014690320401948157
70955 PS1MD 0.3492 0.0 55438.5052174557 0.3423843449272681 3.103136095022742e-05 9.895711302619791e-07 1.4288909174317512 0.32717621113903317 -0.02698315660376633 0.029362490695645758 -1.542608756394457e-07 -2.3916553157785405e-08 0.002813908197715896 0.6486687463195903 SALT2_ORI 21.90549794258867 0.03462346382526223 0.00539733393994794 0.000836800799619447
80723 PS1MD 0.4305 0.0 55473.90318091804 0.42640795869374415 1.8853930584164744e-05 7.569964796798508e-07 0.20142975389779247 0.3382474924201713 -0.14616320075890477 0.03600032363927991 -1.4244151029667265e-07 -1.736982552738106e-08 0.00176321169004638 1.3616373639171644 SALT2_ORI 22.446495240560072 0.04359295167625001 0.008202740754727182 0.0010002714479732488
90201 PS1MD 0.5088 0.0 55483.39832008496 0.5958479028086003 1.3943191736923219e-05 5.9452298212212e-07 0.1462233684108462 0.5038479369321879 -0.08443457970306514 0.04285604298058873 -1.9004528410631394e-07 -1.0610037300857681e-08 0.001070455057809094 1.3306504089015383 SALT2_ORI 22.774094501199567 0.04629464604875286 0.014798551823063555 0.0008261882823335118
91869 PS1MD 0.2888 0.0 55495.587179387294 0.28805911824747454 4.233844584292257e-05 1.6486326035020292e-06 1.4196914267047298 0.315058254290663 0.0020124082485605327 0.03137148618544616 -2.479884045199308e-07 -4.320284786552266e-08 0.0018530171635384371 1.470382149454768 SALT2_ORI 21.568162720198153 0.04227788881546832 0.0063594679442514805 0.0011079031160067141
100090 PS1MD 0.1727 0.0 55506.33822098705 0.3527823543663544 6.612552511246262e-05 2.216827128697499e-06 -0.9970345128801837 0.3209960274542226 0.05046182685135975 0.030556579475489565 -1.346315532340556e-07 -5.519122740407404e-08 0.0010457143699260812 1.046192849988108 SALT2_ORI 21.084077165367724 0.03639879561218425 0.00221055865190379 0.0009062024638099784
